Customer_ID,Policy_Type,Customer_Segment,Customer_Age,Annual_Income,Claim_History_Count,Previous_Claim_Amount,Policy_Tenure_Years,Risk_Score,Insured_Value,Annual_Insurance_Premium
1000001,Home,Mass,59.3,813311.81,1,129111.01,1.88,50.33,942056.52,81266.01
1000002,Travel,Mass,46.1,483376.79,2,359402.98,9.02,47.89,243221.52,205484.02
1000003,Health,Premium,34.1,1045813.84,1,249020.88,1.79,31.91,865348.33,149373.46
1000004,Health,Mass,47.9,287534.47,0,0.0,8.43,44.53,160448.82,8065.09
1000005,Auto,Mass,36.0,855613.31,1,76136.63,6.24,46.39,841997.7,49148.79
1000006,Auto,Affluent,33.0,907967.58,1,93904.38,7.25,46.88,1007439.98,62284.76
1000007,Auto,Mass,,1393292.56,0,0.0,4.41,28.46,1175896.14,6392.92
1000008,Life,Premium,19.2,1537460.03,0,0.0,1.29,25.06,2364312.57,12252.02
1000009,Health,Mass,36.9,682274.09,1,134244.3,4.41,44.2,525471.2,81129.56
1000010,Health,Affluent,44.1,828450.47,2,159098.93,2.5,52.34,587719.5,96820.5
1000011,Auto,Mass,40.7,590534.65,1,59285.4,8.4,43.63,416773.69,39799.11
1000012,Travel,Mass,36.6,483939.72,0,0.0,6.68,35.22,245030.11,5626.97
1000013,Life,Premium,29.7,1067246.12,0,0.0,3.38,47.71,1576462.28,14897.27
1000014,Auto,Mass,49.9,446715.85,1,28680.53,3.63,49.66,309126.33,23630.91
1000015,Auto,Affluent,24.9,716479.74,2,347567.33,14.35,61.47,641602.72,201805.31
1000016,Auto,Mass,52.1,520634.93,1,133106.35,11.77,56.04,569379.29,82602.26
1000017,Home,Mass,29.0,1217701.71,0,0.0,6.24,47.5,1201018.35,7457.76
1000018,Health,Premium,32.2,2424016.9,1,75914.95,12.77,35.27,2223603.15,52343.88
1000019,Home,Mass,22.9,439888.54,4,117913.64,4.62,64.4,458077.74,75666.18
1000020,Auto,Affluent,35.5,324808.12,2,210293.21,9.98,46.98,136820.06,124467.01
1000021,Health,Corporate,54.7,840256.31,2,373754.41,3.34,42.59,504443.46,219615.7
1000022,Auto,Affluent,48.7,907804.05,2,310662.03,3.7,63.39,785515.01,183040.56
1000023,Auto,Corporate,54.7,1015013.69,2,119383.93,3.53,52.18,653527.91,79643.5
1000024,Home,Mass,48.8,704098.65,2,167507.45,10.44,45.55,724805.43,100839.88
1000025,Home,Mass,27.7,805967.28,0,0.0,4.03,32.38,564817.65,7549.85
1000026,Life,Mass,37.7,1101607.21,1,57565.63,13.12,38.42,1906356.4,38332.75
1000027,Auto,Affluent,31.9,1595004.37,0,0.0,4.54,31.35,1529313.31,8624.27
1000028,Health,Corporate,59.3,307082.96,0,0.0,6.99,40.69,195679.42,12378.45
1000029,Health,Mass,26.4,734711.62,1,76282.73,10.29,53.63,563299.6,51054.22
1000030,Auto,Affluent,53.6,1012309.47,1,,1.7,42.83,867459.5,53151.35
1000031,Health,Mass,53.6,,1,29581.26,4.21,59.11,342592.03,24952.58
1000032,Auto,Affluent,65.8,2332131.79,1,98580.51,10.23,56.11,1525810.37,65397.6
1000033,Auto,Mass,36.7,634552.06,1,201974.98,3.89,46.54,392411.01,120125.96
1000034,Travel,Corporate,51.3,879790.48,0,0.0,2.5,45.71,439183.69,12203.26
1000035,Travel,Affluent,71.7,1221954.51,1,30863.02,2.62,51.56,606198.02,28371.49
1000036,Life,Mass,34.0,650140.26,0,0.0,7.81,45.68,1241155.49,11337.46
